radius,density,mass,gravity
1388.321,12.07593,1.4175615591501489e+23,4.908715540186926
1401.153,12.06857,1.4554302370693424e+23,4.947957890896525
1413.986,12.06115,1.4939783434449364e+23,4.987234700516208
1426.818,12.05367,1.5332052217253747e+23,5.026536659226724
1439.651,12.04614,1.5731223316692795e+23,5.06586688143928
1452.483,12.038540000000001,1.613728758967434e+23,5.105216290084422
1465.315,12.03088,1.6550328527008372e+23,5.144585056800461
1478.148,12.02316,1.6970431750402e+23,5.183973525743937
1490.98,12.015379999999999,1.7397584159339057e+23,5.223372929434343
1503.812,12.00754,1.7831870339433553e+23,5.262783799906935
1516.645,11.99964,1.8273376886392028e+23,5.302206769736223
1529.477,11.99168,1.8722086657537026e+23,5.341633337566357
1542.31,11.98366,1.917812102059506e+23,5.381067372541741
1555.142,11.97557,1.964145989481132e+23,5.4205004774037135
1567.974,11.96742,2.0112189254628146e+23,5.459933544806793
1580.807,11.959209999999999,2.0590397347956185e+23,5.4993675986172725
1593.639,11.950940000000001,2.1076060083357394e+23,5.538794507386983
1606.472,11.9426,2.156930314291528e+23,5.578218440567767
1619.304,11.9342,2.2070099375634926e+23,5.617631339881955
1632.136,11.92573,2.2578536362583217e+23,5.657034418718086
1644.969,11.917200000000001,2.3094703829365644e+23,5.696428950267599
1657.801,11.908610000000001,2.361857047693429e+23,5.735807101733625
1670.634,11.89995,2.4150266623265057e+23,5.775173313850534
1683.466,11.89123,2.4689757795768143e+23,5.814519803270949
1696.298,11.88244,2.523713322173389e+23,5.853848032789282
1709.131,11.87359,2.5792484342005667e+23,5.893159511064706
1721.963,11.86467,2.635577217138098e+23,5.932446596018501
1734.795,11.85568,2.6927086700708727e+23,5.971710819684395
1747.628,11.84663,2.7506520408462038e+23,6.010953807279519
1760.46,11.83752,2.8094029952343515e+23,6.050168097460502
1773.293,11.82833,2.8689753090176343e+23,6.089358384419402
1786.125,11.81908,2.9293642863947654e+23,6.128517177276179
1798.957,11.80976,2.9905791197001943e+23,6.167646230621592
1811.79,11.800379999999999,3.052629233223194e+23,6.206747328507427
1824.622,11.79092,3.115509455532522e+23,6.245813087618973
1837.455,11.7814,3.179234055885793e+23,6.284848336382909
1850.287,11.77181,3.243797567566257e+23,6.32384581225729
1863.119,11.76215,3.309209327949518e+23,6.362807348120384
1875.952,11.75242,3.3754789115567206e+23,6.40173479943145
1888.784,11.742629999999998,3.442600362708753e+23,6.440620996882478
1901.616,11.73276,3.510583122322378e+23,6.479467838329493
1914.449,11.72282,3.579436842780828e+23,6.518277186895385
1927.281,11.712819999999999,3.649155070604605e+23,6.55704195993035
1940.114,11.70274,3.719752888358533e+23,6.595767131824587
1952.946,11.692590000000001,3.791223445972e+23,6.634445566538579
1965.778,11.682379999999998,3.863576388108653e+23,6.6730793054395665
1978.611,11.67209,3.936821576030514e+23,6.711670348940935
1991.443,11.66173,4.010951646281212e+23,6.750211637758638
2004.276,11.651290000000001,4.085982170073774e+23,6.7887081518897014
2017.108,11.64079,4.161905468319245e+23,6.827152935348883
2029.94,11.63021,4.238731330041512e+23,6.8655480450590565
2042.773,11.61957,4.3164697966818214e+23,6.90389554659208
2055.605,11.60885,4.3951126641547374e+23,6.942188553088536
2068.437,11.598049999999999,4.474669759681157e+23,6.9804290471084
2081.27,11.58718,4.5551511983349355e+23,7.0186190723080015
2094.102,11.57624,4.6365482409781614e+23,7.056751809265208
2106.935,11.56523,4.718877342923322e+23,7.094832346407282
2119.767,11.55414,4.80212936992043e+23,7.132853852661656
2132.599,11.54298,4.886314357284625e+23,7.170818409125253
2145.432,11.53174,4.97144259997648e+23,7.2087281003879475
2158.264,11.520430000000001,5.057504415116132e+23,7.24657615776292
2171.097,11.50904,5.1445167630262235e+23,7.284367630824471
2183.929,11.49758,5.2324695910712094e+23,7.322095791088742
2196.761,11.486040000000001,5.3213731088039794e+23,7.359762752639328
2209.594,11.47442,5.411237751226544e+23,7.3973705765863595
2222.426,11.462729999999999,5.502052904290397e+23,7.434912593579819
2235.259,11.45097,5.593836115003073e+23,7.472393909485263
2248.091,11.43912,5.6865763521932245e+23,7.509807838781683
2260.923,11.427200000000001,5.780283958606712e+23,7.547156464954535
2273.756,11.4152,5.874969586277464e+23,7.584441923568757
2286.588,11.403129999999999,5.970621670764902e+23,7.621657639416478
2299.42,11.39097,6.067250657744327e+23,7.6588057055166425
2312.253,11.37874,6.164867263362204e+23,7.695888212080982
2325.085,11.366430000000001,6.26345934271691e+23,7.7328986392948265
2337.918,11.354040000000001,6.363045246357501e+23,7.769841968555582
2350.75,11.341569999999999,6.463612394793418e+23,7.806711662595519
2363.582,11.329030000000001,6.565171447765429e+23,7.843509878743544
